Top words in document 1
Word: cortes, TF-IDF: 0.02461 
Word: colonies, TF-IDF: 0.0246 
Word: whence, TF-IDF: 0.02199 
Word: felicity, TF-IDF: 0.02037 
Word: augmenting, TF-IDF: 0.01767 
Word: spain, TF-IDF: 0.01695 
Word: 1820, TF-IDF: 0.01695 
Word: likewise, TF-IDF: 0.01695 
Word: interiorand, TF-IDF: 0.01657 
Word: nationevery, TF-IDF: 0.01657 
Word: diamond, TF-IDF: 0.01657 
Word: 158713049, TF-IDF: 0.01657 
Word: unvaried, TF-IDF: 0.01657 
Word: riprap, TF-IDF: 0.01657 
Word: pontchartrain, TF-IDF: 0.01657 
Word: 66879165, TF-IDF: 0.01657 
Word: 1679410766, TF-IDF: 0.01657 
Word: 1687153472, TF-IDF: 0.01657 
Word: 119635558, TF-IDF: 0.01657 
